"Registry Time","Total Events","Opens","Closes","Reads","Writes","Other","Path"
"0.0000165","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{E7D35CFA-348B-485E-B524-252725D697CA}\LocalServer32"
"0.0000494","12","12","0","0","0","0","HKCR\WOW6432Node\CLSID\{E7D35CFA-348B-485E-B524-252725D697CA}\TreatAs"
"0.0000857","16","4","4","0","4","4","HKCR\WOW6432Node\Interface\{00000134-0000-0000-C000-000000000046}"
"0.0000317","8","4","4","0","0","0","HKCR\WOW6432Node\Interface\{00000134-0000-0000-C000-000000000046}\ProxyStubClsid32"
"0.0000151","4","0","0","4","0","0","HKCR\WOW6432Node\Interface\{00000134-0000-0000-C000-000000000046}\ProxyStubClsid32\(Default)"
"0.0000546","16","4","4","0","4","4","HKCR\WOW6432Node\Interface\{027947E1-D731-11CE-A357-000000000001}"
"0.0000289","8","4","4","0","0","0","HKCR\WOW6432Node\Interface\{027947E1-D731-11CE-A357-000000000001}\ProxyStubClsid32"
"0.0000177","4","0","0","4","0","0","HKCR\WOW6432Node\Interface\{027947E1-D731-11CE-A357-000000000001}\ProxyStubClsid32\(Default)"
"0.0000492","16","4","4","0","4","4","HKCR\WOW6432Node\Interface\{1C1C45EE-4395-11D2-B60B-00104B703EFD}"
"0.0000265","8","4","4","0","0","0","HKCR\WOW6432Node\Interface\{1C1C45EE-4395-11D2-B60B-00104B703EFD}\ProxyStubClsid32"
"0.0000155","4","0","0","4","0","0","HKCR\WOW6432Node\Interface\{1C1C45EE-4395-11D2-B60B-00104B703EFD}\ProxyStubClsid32\(Default)"
"0.0000472","16","4","4","0","4","4","HKCR\WOW6432Node\Interface\{423EC01E-2E35-11D2-B604-00104B703EFD}"
"0.0000263","8","4","4","0","0","0","HKCR\WOW6432Node\Interface\{423EC01E-2E35-11D2-B604-00104B703EFD}\ProxyStubClsid32"
"0.0000193","4","0","0","4","0","0","HKCR\WOW6432Node\Interface\{423EC01E-2E35-11D2-B604-00104B703EFD}\ProxyStubClsid32\(Default)"
"0.0000909","16","4","4","0","4","4","HKCR\WOW6432Node\Interface\{9556DC99-828C-11CF-A37E-00AA003240C7}"
"0.0000310","8","4","4","0","0","0","HKCR\WOW6432Node\Interface\{9556DC99-828C-11CF-A37E-00AA003240C7}\ProxyStubClsid32"
"0.0000177","4","0","0","4","0","0","HKCR\WOW6432Node\Interface\{9556DC99-828C-11CF-A37E-00AA003240C7}\ProxyStubClsid32\(Default)"
"0.0000564","16","4","4","0","4","4","HKCR\WOW6432Node\Interface\{9F6C78EF-FCE5-42FA-ABEA-3E7DF91921DC}"
"0.0000268","8","4","4","0","0","0","HKCR\WOW6432Node\Interface\{9F6C78EF-FCE5-42FA-ABEA-3E7DF91921DC}\ProxyStubClsid32"
"0.0000174","4","0","0","4","0","0","HKCR\WOW6432Node\Interface\{9F6C78EF-FCE5-42FA-ABEA-3E7DF91921DC}\ProxyStubClsid32\(Default)"
"0.0000616","16","4","4","0","4","4","HKCR\WOW6432Node\Interface\{D4781CD6-E5D3-44DF-AD94-930EFE48A887}"
"0.0000324","8","4","4","0","0","0","HKCR\WOW6432Node\Interface\{D4781CD6-E5D3-44DF-AD94-930EFE48A887}\ProxyStubClsid32"
"0.0000182","4","0","0","4","0","0","HKCR\WOW6432Node\Interface\{D4781CD6-E5D3-44DF-AD94-930EFE48A887}\ProxyStubClsid32\(Default)"
"0.0000809","16","4","4","0","4","4","HKCR\WOW6432Node\Interface\{F309AD18-D86A-11D0-A075-00C04FB68820}"
"0.0000640","8","4","4","0","0","0","HKCR\WOW6432Node\Interface\{F309AD18-D86A-11D0-A075-00C04FB68820}\ProxyStubClsid32"
"0.0000213","4","0","0","4","0","0","HKCR\WOW6432Node\Interface\{F309AD18-D86A-11D0-A075-00C04FB68820}\ProxyStubClsid32\(Default)"
"0.0007829","264","0","0","0","0","264","HKLM"
"0.0000578","18","6","6","0","6","0","HKLM\Software\Microsoft\COM3"
"0.0000264","6","0","0","6","0","0","HKLM\SOFTWARE\Microsoft\COM3\Com+Enabled"
"0.0000665","18","6","6","0","6","0","HKLM\Software\Microsoft\Cryptography"
"0.0000950","24","0","0","24","0","0","HKLM\SOFTWARE\Microsoft\Cryptography\MachineGuid"
"0.0000427","6","2","2","0","2","0","HKLM\SOFTWARE\Microsoft\Internet Explorer\ActiveX Compatibility\{FE9E48A4-A014-11D1-855C-00A0C944138C}"
"0.0000093","2","0","0","2","0","0","HKLM\SOFTWARE\Microsoft\Internet Explorer\ActiveX Compatibility\{FE9E48A4-A014-11D1-855C-00A0C944138C}\(Default)"
"0.0000506","6","2","2","0","2","0","HKLM\SOFTWARE\Microsoft\Internet Explorer\AdvancedOptions\CRYPTO\CERTREV"
